occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
administrative_staff,28,high_school,married,unidentified,September,9,1,1,successful,not_converted
administrative_staff,58,unidentified,married,unidentified,June,5,307,2,unidentified,not_converted
jobless,40,high_school,divorced,mobile,February,4,113,1,unidentified,not_converted
retired_worker,63,high_school,married,mobile,April,7,72,5,unidentified,not_converted
business_owner,43,college,married,landline,July,29,184,4,unidentified,not_converted
manual_worker,39,elementary_school,married,unidentified,June,6,158,2,unidentified,not_converted
business_owner,42,college,divorced,mobile,July,10,563,1,unidentified,not_converted
retired_worker,68,college,married,mobile,August,4,651,1,successful,converted
student,22,college,single,mobile,November,30,260,5,successful,converted
technical_specialist,53,high_school,married,landline,July,29,99,5,unidentified,not_converted
retired_worker,55,high_school,married,unidentified,May,13,647,7,unidentified,not_converted
executive,59,college,divorced,mobile,July,16,97,2,unidentified,not_converted
executive,48,college,single,mobile,August,25,961,4,unidentified,converted
jobless,43,high_school,married,mobile,July,29,153,3,unidentified,not_converted
technical_specialist,46,college,single,unidentified,June,5,47,1,unidentified,not_converted
service_worker,36,high_school,single,mobile,May,12,170,3,unidentified,not_converted
administrative_staff,46,high_school,married,mobile,April,20,239,2,unsuccessful,not_converted
retired_worker,71,elementary_school,married,mobile,September,16,246,3,unidentified,not_converted
retired_worker,58,high_school,single,mobile,February,4,72,6,unsuccessful,not_converted
technical_specialist,52,high_school,married,unidentified,May,8,143,1,unidentified,not_converted
technical_specialist,50,high_school,married,mobile,August,7,1834,2,unidentified,not_converted
executive,36,college,married,mobile,June,5,200,2,unidentified,not_converted
business_owner,39,elementary_school,married,mobile,November,19,134,1,unidentified,not_converted
manual_worker,43,elementary_school,married,unidentified,May,27,102,3,unidentified,not_converted
manual_worker,50,elementary_school,married,unidentified,May,7,117,3,unidentified,not_converted
manual_worker,34,elementary_school,married,mobile,May,18,134,1,unsuccessful,not_converted
executive,37,college,married,mobile,May,7,551,1,unsuccessful,not_converted
independent_worker,51,high_school,married,mobile,April,20,164,1,unidentified,not_converted
executive,40,college,married,unidentified,May,28,191,2,unidentified,not_converted
student,25,college,single,mobile,May,14,36,1,other_outcome,not_converted
independent_worker,46,college,married,mobile,February,9,105,4,unidentified,not_converted
service_worker,33,high_school,single,mobile,May,15,256,1,successful,not_converted
unidentified,33,unidentified,single,unidentified,May,5,198,1,unidentified,not_converted
manual_worker,46,elementary_school,married,mobile,January,30,89,4,unsuccessful,not_converted
business_owner,32,college,married,mobile,August,18,135,6,unidentified,not_converted
technical_specialist,32,high_school,divorced,unidentified,June,11,354,17,unidentified,not_converted
manual_worker,45,elementary_school,single,mobile,January,29,182,2,unidentified,not_converted
executive,40,college,divorced,unidentified,May,7,477,2,unidentified,not_converted
service_worker,37,high_school,married,mobile,April,15,332,2,unidentified,not_converted
retired_worker,66,college,married,landline,April,16,287,1,unidentified,not_converted
manual_worker,36,elementary_school,married,mobile,July,29,171,13,unidentified,not_converted
service_worker,58,high_school,married,mobile,November,20,161,7,unidentified,not_converted
manual_worker,32,high_school,married,mobile,July,14,331,2,unidentified,not_converted
retired_worker,58,high_school,married,unidentified,May,26,136,2,unidentified,not_converted
executive,32,college,married,mobile,August,28,19,19,unidentified,not_converted
executive,48,college,married,mobile,August,27,106,11,unidentified,not_converted
retired_worker,53,elementary_school,married,mobile,July,31,85,3,unidentified,not_converted
manual_worker,41,high_school,married,mobile,May,11,273,3,unidentified,not_converted
domestic_worker,34,college,married,mobile,April,20,11,5,unsuccessful,not_converted
executive,34,college,single,unidentified,May,21,388,1,unidentified,not_converted
domestic_worker,60,high_school,divorced,mobile,July,22,261,3,unidentified,not_converted
manual_worker,46,high_school,married,unidentified,May,23,172,3,unidentified,not_converted
manual_worker,34,elementary_school,married,mobile,January,13,278,4,other_outcome,not_converted
executive,33,college,married,mobile,October,14,117,1,unidentified,not_converted
manual_worker,31,high_school,married,mobile,November,18,260,1,unidentified,not_converted
executive,35,college,married,mobile,April,17,249,1,unidentified,not_converted
retired_worker,67,college,married,mobile,February,2,62,1,unidentified,not_converted
manual_worker,36,elementary_school,married,unidentified,June,17,423,1,unidentified,not_converted
manual_worker,30,high_school,married,unidentified,June,16,50,3,unidentified,not_converted
executive,24,college,single,mobile,June,5,133,1,unsuccessful,not_converted
technical_specialist,34,high_school,divorced,unidentified,May,26,133,3,unidentified,not_converted
executive,40,college,married,mobile,May,12,262,2,unidentified,not_converted
manual_worker,34,high_school,single,mobile,May,14,334,2,unidentified,not_converted
technical_specialist,32,college,single,mobile,June,17,544,1,unidentified,converted
manual_worker,39,elementary_school,married,mobile,July,28,24,14,unidentified,not_converted
manual_worker,49,high_school,married,mobile,April,17,162,2,unsuccessful,not_converted
